app,file,category,field,current,expected,severity,status,detail
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,asset_missing,screenshot_link,https://cdn.jsdelivr.net/gh/IceWhaleTech/CasaOS-AppStore@main/Apps/Jellyseerr/screenshot-2.jpg,Apps/Jellyseerr/screenshot-2.jpg,medium,needs_fix,CasaOS-AppStore CDN asset path does not exist locally
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,asset_missing,screenshot_link,https://cdn.jsdelivr.net/gh/IceWhaleTech/CasaOS-AppStore@main/Apps/Jellyseerr/screenshot-3.jpg,Apps/Jellyseerr/screenshot-3.jpg,medium,needs_fix,CasaOS-AppStore CDN asset path does not exist locally
LabelStudio,Apps/LabelStudio/docker-compose.yml,service_metadata_port_gap,services.<main>.x-casaos.ports,3080,8080,low,needs_review,some exposed container ports are not represented in service-level CasaOS port metadata
Lazylibrarian,Apps/Lazylibrarian/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/lazylibrarian:latest,linuxserver/lazylibrarian:version-169e669f,medium,needs_fix,legacy appfile image tag differs from compose main image
LibreChat,Apps/LibreChat/docker-compose.yml,service_metadata_env_gap,services.<main>.x-casaos.envs,"HOST,MONGO_URI,MEILI_HOST,RAG_PORT,RAG_API_URL,SEARCH,MEILI_NO_ANALYTICS,OPENAI_MODERATION,JWT_SECRET,JWT_REFRESH_SECRET","ASSISTANTS_API_KEY,OPENAI_API_KEY,GOOGLE_KEY,ANTHROPIC_API_KEY,HOST,PORT,DOMAIN_CLIENT,DOMAIN_SERVER,NO_INDEX,TRUST_PROXY,CONSOLE_JSON,DEBUG_LOGGING,DEBUG_CONSOLE,MONGO_URI,MEILI_HOST,RAG_PORT,RAG_API_URL,SEARCH,MEILI_NO_ANALYTICS,OPENAI_MODERATION,BAN_VIOLATIONS,BAN_DURATION,BAN_INTERVAL,LOGIN_VIOLATION_SCORE,REGISTRATION_VIOLATION_SCORE,CONCURRENT_VIOLATION_SCORE,MESSAGE_VIOLATION_SCORE,NON_BROWSER_VIOLATION_SCORE,TTS_VIOLATION_SCORE,STT_VIOLATION_SCORE,FORK_VIOLATION_SCORE,IMPORT_VIOLATION_SCORE,FILE_UPLOAD_VIOLATION_SCORE,LOGIN_MAX,LOGIN_WINDOW,REGISTER_MAX,REGISTER_WINDOW,LIMIT_CONCURRENT_MESSAGES,CONCURRENT_MESSAGE_MAX,LIMIT_MESSAGE_IP,MESSAGE_IP_MAX,MESSAGE_IP_WINDOW,LIMIT_MESSAGE_USER,MESSAGE_USER_MAX,MESSAGE_USER_WINDOW,ILLEGAL_MODEL_REQ_SCORE,ALLOW_EMAIL_LOGIN,ALLOW_REGISTRATION,ALLOW_SOCIAL_LOGIN,ALLOW_SOCIAL_REGISTRATION,ALLOW_PASSWORD_RESET,ALLOW_UNVERIFIED_EMAIL_LOGIN,SESSION_EXPIRY,REFRESH_TOKEN_EXPIRY,JWT_SECRET,JWT_REFRESH_SECRET,CREDS_KEY,CREDS_IV,DEBUG_PLUGINS,DEBUG_OPENAI",low,needs_review,some environment variables are not represented in service-level CasaOS env metadata
Lidarr,Apps/Lidarr/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/lidarr:latest,linuxserver/lidarr:3.1.0,medium,needs_fix,legacy appfile image tag differs from compose main image
Logseq,Apps/Logseq/docker-compose.yml,service_metadata_port_gap,services.<main>.x-casaos.ports,3325,"3000,12315",low,needs_review,some exposed container ports are not represented in service-level CasaOS port metadata
Memos,Apps/Memos/appfile.json,appfile_json_error,json,JSONDecodeError,valid JSON,high,needs_fix,Illegal trailing comma before end of array: line 76 column 5 (char 1899)
MineOS,Apps/MineOS/docker-compose.yml,service_metadata_port_gap,services.<main>.x-casaos.ports,"8443,25565,25566,25567,25568,25569,25570,25565,25566,25567,25568,25569,25570","8443,25565-25570,25565-25570",low,needs_review,some exposed container ports are not represented in service-level CasaOS port metadata
Mylar3,Apps/Mylar3/appfile.json,appfile_image_tag_mismatch,container.image,lscr.io/linuxserver/mylar3:latest,linuxserver/mylar3:0.8.3,medium,needs_fix,legacy appfile image tag differs from compose main image
